0
"🟢 Mua tại 85757.70 (2025-03-24 02:30:00+00:00) | TP: 86100.73, SL: 85414.67"
✅ TP tại 86212.40 (2025-03-24 03:00:00+00:00) | Số dư: 5021.92
"🟢 Mua tại 86883.80 (2025-03-24 05:15:00+00:00) | TP: 87231.34, SL: 86536.26"
✅ TP tại 87404.00 (2025-03-24 08:15:00+00:00) | Số dư: 5053.81
"🟢 Mua tại 86672.50 (2025-03-25 09:00:00+00:00) | TP: 87019.19, SL: 86325.81"
✅ TP tại 87108.10 (2025-03-25 09:30:00+00:00) | Số dư: 5079.36
"🟢 Mua tại 86555.00 (2025-03-26 19:45:00+00:00) | TP: 86901.22, SL: 86208.78"
✅ TP tại 86903.10 (2025-03-26 20:00:00+00:00) | Số dư: 5122.41
"🟢 Mua tại 86900.20 (2025-03-27 00:00:00+00:00) | TP: 87247.80, SL: 86552.60"
✅ TP tại 87281.50 (2025-03-27 00:45:00+00:00) | Số dư: 5148.84
"🟢 Mua tại 85301.40 (2025-03-28 13:30:00+00:00) | TP: 85642.61, SL: 84960.19"
⛔ SL tại 84447.80 (2025-03-28 14:00:00+00:00) | Số dư: 5110.27
"🟢 Mua tại 84067.50 (2025-03-28 20:30:00+00:00) | TP: 84403.77, SL: 83731.23"
✅ TP tại 84484.90 (2025-03-28 22:45:00+00:00) | Số dư: 5126.30
"🟢 Mua tại 84468.60 (2025-03-29 00:00:00+00:00) | TP: 84806.47, SL: 84130.73"
⛔ SL tại 84027.00 (2025-03-29 02:30:00+00:00) | Số dư: 5106.12
"🟢 Mua tại 83793.70 (2025-03-29 07:30:00+00:00) | TP: 84128.87, SL: 83458.53"
⛔ SL tại 83407.90 (2025-03-29 10:15:00+00:00) | Số dư: 5078.66
"🟢 Mua tại 82452.50 (2025-03-29 23:15:00+00:00) | TP: 82782.31, SL: 82122.69"
✅ TP tại 82802.20 (2025-03-30 00:45:00+00:00) | Số dư: 5098.75
"🟢 Mua tại 83035.60 (2025-03-30 01:00:00+00:00) | TP: 83367.74, SL: 82703.46"
✅ TP tại 83422.60 (2025-03-30 03:00:00+00:00) | Số dư: 5120.40
"🟢 Mua tại 83334.40 (2025-03-30 03:15:00+00:00) | TP: 83667.74, SL: 83001.06"
⛔ SL tại 82960.70 (2025-03-30 05:45:00+00:00) | Số dư: 5109.53
"🟢 Mua tại 83318.30 (2025-03-30 07:00:00+00:00) | TP: 83651.57, SL: 82985.03"
⛔ SL tại 82924.10 (2025-03-30 13:15:00+00:00) | Số dư: 5096.34
"🟢 Mua tại 82806.80 (2025-03-30 14:45:00+00:00) | TP: 83138.03, SL: 82475.57"
⛔ SL tại 82286.40 (2025-03-30 16:45:00+00:00) | Số dư: 5070.47
"🟢 Mua tại 82608.30 (2025-03-30 18:00:00+00:00) | TP: 82938.73, SL: 82277.87"
⛔ SL tại 82271.20 (2025-03-30 21:30:00+00:00) | Số dư: 5060.08
"🟢 Mua tại 82186.40 (2025-03-31 05:00:00+00:00) | TP: 82515.15, SL: 81857.65"
⛔ SL tại 81844.00 (2025-03-31 07:30:00+00:00) | Số dư: 5041.42
"🟢 Mua tại 82195.40 (2025-03-31 08:15:00+00:00) | TP: 82524.18, SL: 81866.62"
⛔ SL tại 81592.70 (2025-03-31 09:00:00+00:00) | Số dư: 5017.24
"🟢 Mua tại 82171.10 (2025-03-31 10:45:00+00:00) | TP: 82499.78, SL: 81842.42"
✅ TP tại 82779.00 (2025-03-31 12:45:00+00:00) | Số dư: 5067.94
"🟢 Mua tại 82556.40 (2025-03-31 23:00:00+00:00) | TP: 82886.63, SL: 82226.17"
✅ TP tại 82946.70 (2025-04-01 02:30:00+00:00) | Số dư: 5090.44
"🟢 Mua tại 83289.50 (2025-04-01 05:15:00+00:00) | TP: 83622.66, SL: 82956.34"
✅ TP tại 83696.20 (2025-04-01 08:00:00+00:00) | Số dư: 5111.63
"🟢 Mua tại 83941.40 (2025-04-01 08:15:00+00:00) | TP: 84277.17, SL: 83605.63"
✅ TP tại 84336.30 (2025-04-01 09:30:00+00:00) | Số dư: 5134.50
"🟢 Mua tại 85233.50 (2025-04-01 20:45:00+00:00) | TP: 85574.43, SL: 84892.57"
⛔ SL tại 84751.40 (2025-04-02 02:00:00+00:00) | Số dư: 5114.32
"🟢 Mua tại 84243.20 (2025-04-02 07:30:00+00:00) | TP: 84580.17, SL: 83906.23"
✅ TP tại 84679.40 (2025-04-02 08:30:00+00:00) | Số dư: 5147.71
"🟢 Mua tại 85220.90 (2025-04-02 13:45:00+00:00) | TP: 85561.78, SL: 84880.02"
✅ TP tại 85731.70 (2025-04-02 14:15:00+00:00) | Số dư: 5230.97
"🟢 Mua tại 83718.60 (2025-04-03 02:00:00+00:00) | TP: 84053.47, SL: 83383.73"
⛔ SL tại 83319.50 (2025-04-03 04:15:00+00:00) | Số dư: 5210.03
"🟢 Mua tại 83639.00 (2025-04-03 08:00:00+00:00) | TP: 83973.56, SL: 83304.44"
